to place; to put; to assume
to stop; to cease; to leave off (מן)
to be happy; to rejoice
to loosen; to untie; to solve (a problem); to remove; to settle (doubt; argument); to allow; to permit
to float; to arise; to appear
to document
to grant; to bestow; to award
to look; to glance
to work upon; to process
to believe; to trust
to listen; to pay attention
to be angry (at someone — על)
to turn over; to turn into (ל-)
to upset; to depress (slang)
to reject; to disqualify
to reject; to deny; to deprive
